Status-ID,Kategorie,Linie,Fahrtnummer,"Abfahrtsstation Name","Abfahrtsstation Koordinaten","Abfahrt geplant","Abfahrt real","Zielstation Name","Zielstation Koordinaten","Ankunft geplant","Ankunft real",Reisezeit,Distanz,Punkte,Status-Nachricht,Fahrtzweck,Betreiber
3111428,tram,"STR 99",3396,"Plantagenstr., Potsdam","52.392396,13.103279",2024-08-01T15:54:00+00:00,2024-08-01T15:56:00+00:00,"Babelsberg (S)/Wattstr., Potsdam","52.391623,13.094335",2024-08-01T15:56:00+00:00,2024-08-01T15:58:00+00:00,2,614,3,,PRIVATE,
3111429,suburban,"S 7",73118,Potsdam-Babelsberg,"52.391353,13.093049",2024-08-01T16:00:00+00:00,2024-08-01T16:01:00+00:00,"Potsdam Hbf (S)","52.391713,13.067727",2024-08-01T16:02:00+00:00,2024-08-01T16:02:00+00:00,1,1734,4,,PRIVATE,"S-Bahn Berlin GmbH"
3111507,national,"IC 2431",2431,"Potsdam Hbf","52.391551,13.066711",2024-08-01T16:02:00+00:00,2024-08-01T16:09:00+00:00,"Berlin Hbf","52.524924,13.369629",2024-08-01T16:26:00+00:00,2024-08-01T16:26:00+00:00,17,28607,11,"NV-Freigabe ftw",PRIVATE,"DB Fernverkehr"
3111750,subway,"U 5",15276,"Berlin Hbf","52.524924,13.369629",2024-08-01T16:38:00+00:00,2024-08-01T16:38:00+00:00,"Unter den Linden (U), Berlin","52.517041,13.38883",2024-08-01T16:42:00+00:00,2024-08-01T16:42:00+00:00,7,1937,3,"Nach einem Notarzteinsatz ist der Zugverkehr derzeit unregelmäßig",PRIVATE,
3111792,subway,"U 6",16685,"Unter den Linden (U), Berlin","52.517041,13.38883",2024-08-01T16:53:00+00:00,2024-08-01T16:53:00+00:00,"Hallesches Tor (U), Berlin","52.497732,13.391204",2024-08-01T16:57:00+00:00,2024-08-01T16:57:00+00:00,4,2156,3,,PRIVATE,
3112783,suburban,"S 7",7149,"Berlin Warschauer Straße","52.505948,13.45224",2024-08-01T20:42:00+00:00,2024-08-01T20:42:00+00:00,"Berlin Ostkreuz","52.503305,13.468861",2024-08-01T20:43:00+00:00,2024-08-01T20:44:00+00:00,2,1165,4,,PRIVATE,"S-Bahn Berlin GmbH"
3112784,suburban,"S 42",42235,"Berlin Ostkreuz","52.503305,13.468861",2024-08-01T20:46:00+00:00,2024-08-01T20:46:00+00:00,"Berlin Westkreuz","52.500734,13.283962",2024-08-01T21:17:00+00:00,2024-08-01T21:17:00+00:00,31,20280,6,"Mit Ring nach Hause weil der nächste RE1 erst in 2 Stunden kommt 🙄",PRIVATE,"S-Bahn Berlin GmbH"
3112785,subway,"U 1",11804,"Hallesches Tor (U), Berlin","52.497732,13.391204",2024-08-01T19:31:00+00:00,2024-08-01T19:31:00+00:00,"Schlesisches Tor (U), Berlin","52.500869,13.441579",2024-08-01T19:38:00+00:00,2024-08-01T19:38:00+00:00,7,3761,1,,PRIVATE,
3112848,suburban,"S 7",73152,"Berlin Westkreuz","52.500734,13.283962",2024-08-01T21:20:00+00:00,2024-08-01T21:21:00+00:00,Potsdam-Babelsberg,"52.391353,13.093049",2024-08-01T21:40:00+00:00,2024-08-01T21:40:00+00:00,19,18749,5,"Immer wieder deprimierend von nem Lichtschalter auf ne Taucherbrille umzusteigen",PRIVATE,"S-Bahn Berlin GmbH"
3118650,tram,"STR 99",3469,"Plantagenstr., Potsdam","52.392396,13.103279",2024-08-02T17:57:00+00:00,2024-08-02T17:58:00+00:00,"Lange Brücke, Potsdam","52.392306,13.063331",2024-08-02T18:08:00+00:00,2024-08-02T18:10:00+00:00,12,4620,3,"S-Bahn fällt aus, Sichtanschluss auf den Bus 🙄",PRIVATE,
3118792,tram,"STR 96",2757,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-08-02T18:20:00+00:00,2024-08-02T18:21:00+00:00,"Platz der Einheit/Nord, Potsdam","52.39921,13.058639",2024-08-02T18:25:00+00:00,2024-08-02T18:26:00+00:00,5,1105,3,,PRIVATE,
3119734,tram,"STR 99",3335,"Rathaus Babelsberg, Potsdam","52.392189,13.091144",2024-08-02T22:05:00+00:00,2024-08-02T22:05:00+00:00,"Plantagenstr., Potsdam","52.392396,13.103279",2024-08-02T22:07:00+00:00,2024-08-02T22:08:00+00:00,3,845,3,,PRIVATE,
3123851,tram,"STR 94",243,"Plantagenstr., Potsdam","52.392396,13.103279",2024-08-03T14:24:00+00:00,2024-08-03T14:25:00+00:00,"Luisenplatz-Süd/Park Sanssouci, Potsdam","52.398617,13.047717",2024-08-03T14:38:00+00:00,2024-08-03T14:38:00+00:00,13,4469,3,,PRIVATE,
3124599,tram,"STR 91",1859,"Luisenplatz-Süd/Park Sanssouci, Potsdam","52.398617,13.047717",2024-08-03T16:00:00+00:00,2024-08-03T16:01:00+00:00,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-08-03T16:09:00+00:00,2024-08-03T16:10:00+00:00,9,1767,3,,PRIVATE,
3126637,bus,"Bus N17",2634,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-08-03T23:34:00+00:00,2024-08-03T23:34:00+00:00,"Plantagenstr., Potsdam","52.392396,13.103279",2024-08-03T23:43:00+00:00,2024-08-03T23:43:00+00:00,9,3255,3,,PRIVATE,
